,name,alias,ra,dec,refs,discovery_date,z,hasPhot,hasSpec,json_path
60,ASASSN-20jr,"['ASASSN-20jr', 'AT 2020ral']",229d19m25.2s,54d45m45.6s,['ASAS-SN Supernovae'],2020-08-10 05:45:36.000,,False,False,/home/nfranz/astro-otter/otterdb/.otter/ASASSN-20jr.json
61,2023mfm,"['ZTF23aapyidj', 'PS23fqo', '2023mfm', 'AT2023mfm']",324d21m59.3676s,-4d20m43.0152s,"['2023TNSAN.250....1C', '2024MNRAS.527.2452M', '2023TNSTR1546....1F', '2023TNSCR2308....1C']",60123.399,0.087,True,False,/home/nfranz/astro-otter/otterdb/.otter/AT2023mfm.json
62,2019lwu,"['ZTF19abidbya', 'ATLAS19rnz', '2019lwu', 'PS19ega', 'AT2019lwu']",347d48m04.581036s,-1d00m10.8162072s,"['2021ApJ...908....4V', '2024MNRAS.527.2452M', '2019TNSTR1352....1F', '2020TNSCR2246....1D']",58688.41799768519,0.117,True,False,/home/nfranz/astro-otter/otterdb/.otter/AT2019lwu.json
63,2020pj,"['ATLAS20cab', 'ZTF20aabqihu', '2020pj', 'AT2020pj']",232d53m44.5139376s,33d05m41.6801292s,"['2023ApJ...942....9H', '2024MNRAS.527.2452M', '2020TNSTR..79....1N', '2020TNSCR2829....1H']",58850.50952546296,0.068,True,False,/home/nfranz/astro-otter/otterdb/.otter/AT2020pj.json
64,DES14C1kia,"['DES 14C1kia', 'DES14C1kia']",53d41m52.35s,-26d19m35s,"['2017ApJ...838..149A', '2016A&A...594A..13P', '2015ATel.6877....1F', '2011ApJ...737..103S', '2017ApJ...835...64G', '2000A&AS..143....9W', '2023PASP..135c4101G', '2023arXiv230813595C']",2014-01-01 00:00:00.000,0.162,True,False,/home/nfranz/astro-otter/otterdb/.otter/DES14C1kia.json
65,2018iih,"['2018iih', 'ATLAS18yzs', 'Gaia18dpo', 'ZTF18acaqdaa', 'AT2018iih']",262d00m58.8518604s,30d41m31.5128184s,"['2021ApJ...908....4V', '2024MNRAS.527.2452M', '2023ApJ...955L...6Y', '2018TNSTR1750....1T', '2020TNSCR2246....1D']",58431.19599537037,0.212,True,False,/home/nfranz/astro-otter/otterdb/.otter/AT2018iih.json
66,PTF09axc,"['PTF 09axc', 'PTF-09axc', 'PTF09axc']",223d18m15.9s,22d14m32.2s,"['2017ApJ...838..149A', '2016A&A...594A..13P', '2014ApJ...793...38A', '2011ApJ...737..103S', '2010ApJ...721..777A', '2017ApJ...835...64G', '2012PASP..124..668Y', '2000A&AS..143....9W', '2024MNRAS.527.2452M', '2017MNRAS.471.1694W', '2023PASP..135c4101G']",2009-06-20 00:00:00.000,0.1146,True,False,/home/nfranz/astro-otter/otterdb/.otter/PTF09axc.json
67,SRGE J171423.6+085236,['SRGE J171423.6+085236'],258d35m54.2148s,8d52m36.9048s,"['2021MNRAS.508.3820S', '2023PASP..135c4101G']",2020-09-18 00:00:00.000,0.036,False,False,/home/nfranz/astro-otter/otterdb/.otter/SRGE-J171423.6+085236.json
68,2022wtn,"['ATLAS22bikj', 'ZTF22abkfhua', '2022wtn', 'PS22jwq', 'AT2022wtn']",350d50m56.7672s,10d41m07.8108s,"['2022TNSTR2885....1F', '2024MNRAS.527.2452M', '2022TNSCR3389....1F']",59854.255,0.0491,True,False,/home/nfranz/astro-otter/otterdb/.otter/AT2022wtn.json
69,XMMSL1 J061927.1-655311,['XMMSL1 J061927.1-655311'],94d51m45s,-65d53m07s,"['2014A&A...572A...1S', '2023PASP..135c4101G']",2012-11-12 00:00:00.000,0.0729,False,False,/home/nfranz/astro-otter/otterdb/.otter/XMMSL1-J061927.1-655311.json
70,2018hyz,"['ZTF18acpdvos', 'ATLAS18bafs', '2018hyz', 'ASASSN-18zj', 'AT2018hyz']",151d42m43.125s,1d41m33.96s,"['2022ApJ...938...28C', '2020MNRAS.497.1925G', '2020MNRAS.tmp.2047S', '2016A&A...594A..13P', '2017ApJ...835...64G', '2020MNRAS.498.4119S', '2021ApJ...908....4V', '2024MNRAS.527.2452M', '2023ApJ...957...86H', '2018ATel12218....1H', '2018TNSCR1764....1A', '2018TNSTR1708....1B', '2022ATel15307....1H', '2024MNRAS.527.7672S']",2018-10-14 00:00:00.000,0.0457,True,False,/home/nfranz/astro-otter/otterdb/.otter/AT2018hyz.json
71,eRASSt J234403-352640,['eRASSt J234403-352640'],356d00m43.5s,-35d26m39.4s,"['2023A&A...672A.167H', '2024MNRAS.528.7123G']",2020-11-28 00:00:00.000,0.1,True,False,/home/nfranz/astro-otter/otterdb/.otter/eRASSt-J234403-352640.json
72,UGC 01791,['UGC 01791'],34d58m22.8s,28d14m52.8s,"['2017ApJ...838..149A', '2016A&A...594A..13P', '2015arXiv150506612H', '2011ApJ...737..103S', '2017ApJ...835...64G', '2016A&A...586A...9H', '2023PASP..135c4101G']",2005-01-09 00:00:00.000,0.015881,False,False,/home/nfranz/astro-otter/otterdb/.otter/UGC-01791.json
73,2019bhf,"['ZTF19aakswrb', '2019bhf', 'AT2019bhf']",227d18m59.6304s,16d14m22.524s,"['2021ApJ...908....4V', '2024MNRAS.527.2452M', '2019TNSTR.299....1F', '2020TNSCR2246....1D']",58526.545,0.1206,True,False,/home/nfranz/astro-otter/otterdb/.otter/AT2019bhf.json
74,2MASX J0249,"['XMMSL1 J024916.6-041244', '2MASX J0249']",42d19m19.2s,-4d12m54s,"['2017ApJ...838..149A', '2016A&A...594A..13P', '2011ApJ...737..103S', '2007A&A...462L..49E', '2017ApJ...835...64G', '2016A&A...592A..74S', '2023PASP..135c4101G']",2006-07-14 00:00:00.000,0.0186,True,False,/home/nfranz/astro-otter/otterdb/.otter/2MASX-J0249.json
75,2022dsb,"['ATLAS22iav', 'ASASSN-22cs', 'ZTF22aadghqe', '2022dsb', 'AT2022dsb']",235d35m26.27736s,-22d40m14.08764s,"['2022TNSCR.584....1F', '2024MNRAS.527.2452M', '2022TNSTR.559....1S']",59639.56998842592,0.0234,True,False,/home/nfranz/astro-otter/otterdb/.otter/AT2022dsb.json
76,2018zr,"['ATLAS18nej', '2018zr', 'AT2018zr (PS18kh)', 'AT 2018zr', 'AT2018zr', 'PS18kh']",119d13m37.95s,34d15m43.6s,"['2018arXiv180902608V', '2018arXiv180802890H', '2016A&A...594A..13P', '2011ApJ...737..103S', 'MAST', '2017ApJ...835...64G', 'ASAS-SN Supernovae', '2019ApJ...880..120H', '2024MNRAS.527.2452M', '2023ApJ...957...86H', '2019ApJ...872..198V', '2019ApJ...879..119H', '2023PASP..135c4101G', '2018TNSTR.296....1C', '2023arXiv230813595C', '2020TNSCR2246....1D']",2018-02-07 00:00:00.000,0.074,True,False,/home/nfranz/astro-otter/otterdb/.otter/AT2018zr.json
77,2023clx,"['ASASSN-23bd', 'ZTF18aabkvpi', '2023clx', 'AT2023clx']",175d02m21.0444s,15d19m38.55s,"['2024arXiv240111773C', '2024MNRAS.527.2452M', '2023TNSTR.421....1S', '2023TNSCR.438....1T']",59997.21,0.01107,True,False,/home/nfranz/astro-otter/otterdb/.otter/AT2023clx.json
78,J133837,['J133837'],204d39m24s,57d31m13.2s,"['2018arXiv180205105W', '2016A&A...594A..13P', '2011ApJ...737..103S', '2017ApJ...835...64G', '2018MNRAS.477.2943W', '2023PASP..135c4101G']",2009-11-02 00:00:00.000,0.1269,True,False,/home/nfranz/astro-otter/otterdb/.otter/J133837.json
79,2018hco,"['ATLAS18way', '2018hco', 'AT2018hco', 'ZTF18abxftqm']",16d53m24.15s,23d28m34.39s,"['2016A&A...594A..13P', 'MAST', '2017ApJ...835...64G', '2021ApJ...908....4V', '2024MNRAS.527.2452M', '2018TNSTR1509....1T', '2023arXiv230813595C', '2018TNSCR1902....1R']",8589-09-09 00:00:00.000,0.088,True,False,/home/nfranz/astro-otter/otterdb/.otter/ZTF18abxftqm.json
80,J094608,['J094608'],146d32m07.35s,35d12m22.4s,"['2017arXiv171104577K', '2016A&A...594A..13P', '2011ApJ...737..103S', '2017ApJ...835...64G', '2017NatAs...1..865K', '2019ApJ...871...15J', '2023PASP..135c4101G']",,0.119,False,False,/home/nfranz/astro-otter/otterdb/.otter/J094608.json
81,2018jbv,"['ATLAS19acl', 'PS19aoz', '2018jbv', 'ZTF18acnbpmd', 'AT2018jbv']",197d41m23.2584s,8d34m04.2024s,"['2023ApJ...942....9H', '2024MNRAS.527.2452M', '2018TNSTR2038....1F']",58448.562997685185,0.34,True,False,/home/nfranz/astro-otter/otterdb/.otter/AT2018jbv.json
82,2019dsg,"['2019dsg', 'ZTF19aapreis', 'ATLAS19klx', 'AT 2019dsg', 'AT2019dsg']",314d15m44.55s,14d12m15.86s,"['2021NatAs...5..510S', '2021ApJ...919..127C', '2021ApJ...908....4V', '2024MNRAS.527.2452M', '2023ApJ...955L...6Y', '2014ApJ...788...48S', '2019TNSTR2019....1N', '2023PASP..135c4101G', ' 2019TNSTR.615....1N', '2023arXiv230813595C', '2019TNSTR.615....1N', '2019TNSCR.772....1S']",2019-04-09 00:00:00.000,0.051,True,False,/home/nfranz/astro-otter/otterdb/.otter/AT2019dsg.json
83,J113527,['J113527'],173d51m49.35s,39d28m10.7s,"['2018arXiv180205105W', '2016A&A...594A..13P', '2011ApJ...737..103S', '2017ApJ...835...64G', '2018MNRAS.477.2943W', '2023PASP..135c4101G']",2009-04-07 00:00:00.000,0.1084,True,False,/home/nfranz/astro-otter/otterdb/.otter/J113527.json
84,AT2019qiz,"['AT2019qiz (= ZTF19abzrhgq)', 'AT2019qiz']",71d39m29.85s,-10d13m31.5s,"['2020arXiv200602454N', '2016A&A...594A..13P', 'ASAS-SN Supernovae', 'MAST', '2017ApJ...835...64G', '2020MNRAS.499..482N', '2021ApJ...908....4V', '2024MNRAS.527.2452M', '2023ApJ...957...86H']",2019-09-24 09:50:24.000,0.01513,True,False,/home/nfranz/astro-otter/otterdb/.otter/AT2019qiz.json
85,RX J1420+53,['RX J1420+53'],215d06m03s,53d34m11s,"['2017ApJ...838..149A', '2016A&A...594A..13P', '2011ApJ...737..103S', '2000A&A...362L..25G', '2017ApJ...835...64G', '2023PASP..135c4101G']",1990-07-11 00:00:00.000,0.147,True,False,/home/nfranz/astro-otter/otterdb/.otter/RX-J1420+53.json
86,IGR J17361-4441,['IGR J17361-4441'],264d04m21.3s,-44d44m05.98s,"['2017ApJ...838..149A', '2016A&A...594A..13P', '2014arXiv1407.5081D', '2011ApJ...737..103S', '2017ApJ...835...64G', '2011A&A...535L...1B', '2023PASP..135c4101G']",2003-03-22 00:00:00.000,0.000271,True,False,/home/nfranz/astro-otter/otterdb/.otter/IGR-J17361-4441.json
87,XMMSL2 J140446.9-251135,['XMMSL2 J140446.9-251135'],211d11m45s,-25d11m35s,"['2018ATel11394....1R', '2023PASP..135c4101G']",2018-02-15 00:00:00.000,0.043,False,False,/home/nfranz/astro-otter/otterdb/.otter/XMMSL2-J140446.9-251135.json
88,J100933,['J100933'],152d23m17.1s,23d22m55.8s,"['2018arXiv180205105W', '2016A&A...594A..13P', '2011ApJ...737..103S', '2017ApJ...835...64G', '2018MNRAS.477.2943W', '2023PASP..135c4101G']",2009-02-20 00:00:00.000,0.0719,True,False,/home/nfranz/astro-otter/otterdb/.otter/J100933.json
89,ASASSN-20lk,"['ASASSN-20lk', 'AT 2020svp']",207d38m12s,-30d02m55.6s,['ASAS-SN Supernovae'],2020-09-08 17:16:48.000,,False,False,/home/nfranz/astro-otter/otterdb/.otter/ASASSN-20lk.json
90,2019cmw,"['ATLAS19kel', 'PS19cws', '2019cmw', 'ZTF19aaniqrr', 'AT2019cmw']",282d09m52.182s,51d00m48.7332s,"['2022ApJ...925...67L', '2024MNRAS.527.2452M', '2019TNSTR.464....1N']",58567.51133101852,0.5167,True,False,/home/nfranz/astro-otter/otterdb/.otter/AT2019cmw.json
91,SRGE J163831.7+534020,['SRGE J163831.7+534020'],249d38m00.2436s,53d40m22.5516s,"['2021MNRAS.508.3820S', '2023PASP..135c4101G']",2020-08-01 00:00:00.000,0.581,False,False,/home/nfranz/astro-otter/otterdb/.otter/SRGE-J163831.7+534020.json
92,2020ksf,"['2020ksf', 'ZTF20abgbdpr', 'Gaia20cjk', 'AT2020ksf']",323d51m49.2264s,-18d16m35.364s,"['2024ApJ...963...75W', '2024MNRAS.527.2452M', '2020TNSTR1450....1H']",58960.425,0.0942,True,False,/home/nfranz/astro-otter/otterdb/.otter/AT2020ksf.json
93,2021mhg,"['ZTF21abaxaqq', 'ATLAS21wwe', 'ATLAS21qbq', '2021mhg', 'Gaia21cwh', 'AT2021mhg']",4d55m43.40244s,29d19m00.71436s,"['2022ApJ...925...67L', '2024MNRAS.527.2452M', '2021TNSTR1620....1M', '2021TNSCR2672....1C']",59345.48390049768,0.073,True,False,/home/nfranz/astro-otter/otterdb/.otter/AT2021mhg.json
94,2018mac,"['2022dbl', 'ASASSN-22ci', 'AT2022dbl', 'ATLAS18bcnl', 'PS22cdn', '2018mac', 'Gaia22bdt', 'ZTF18aabdajx']",185d11m16.17036s,49d33m04.40064s,"['2022TNSCR.504....1A', '2024MNRAS.527.2452M', '2023ApJS..267...44A', '2022TNSTR.372....1D', '2022TNSTR1433....1S']",58254.20157,0.0284,True,False,/home/nfranz/astro-otter/otterdb/.otter/AT2022dbl.json
95,IGR J12580+0134,"['IGR12580', 'IGR 12580', 'IGR J12580+0134']",194d31m16.5s,1d34m26s,"['2015ApJ...809..172I', '2016MNRAS.461.3375Y', '2017ApJ...842..126P', '2022ApJ...925..143P']",55572.0,0.00411,True,False,/home/nfranz/astro-otter/otterdb/.otter/IGR-J12580+0134.json
96,SRGE J135514.8+311605,['SRGE J135514.8+311605'],208d48m45.2844s,31d16m05.2356s,"['2021MNRAS.508.3820S', '2023PASP..135c4101G']",2020-06-23 00:00:00.000,0.1989,False,False,/home/nfranz/astro-otter/otterdb/.otter/SRGE-J135514.8+311605.json
97,PGC 1127938,['PGC 1127938'],19d44m09.6s,-1d03m10.8s,"['2017ApJ...838..149A', '2016A&A...594A..13P', '2015arXiv150506612H', '2011ApJ...737..103S', '2017ApJ...835...64G', '2016A&A...586A...9H', '2023PASP..135c4101G']",2007-01-08 00:00:00.000,0.02,False,False,/home/nfranz/astro-otter/otterdb/.otter/PGC-1127938.json
98,2019vcb,"['ZTF19acspeuw', 'Gaia19feb', '2019vcb', 'ATLAS19bcyz', 'AT2019vcb']",189d44m05.7329556s,33d09m57.2151492s,"['2023ApJ...942....9H', '2024MNRAS.527.2452M', '2019TNSTR2396....1N', '2020TNSCR2126....1D']",58802.551620370374,0.088,True,False,/home/nfranz/astro-otter/otterdb/.otter/AT2019vcb.json
99,2022bdw,"['ZTF22aaahtqz', '2022bdw', 'PS22avi', 'ATLAS22dth', 'Gaia22baj', 'AT2022bdw']",126d17m35.62476s,18d34m57.47304s,"['2022TNSCR.511....1A', '2024MNRAS.527.2452M', '2023ApJS..267...44A', '2022TNSTR.284....1T']",59610.401,0.0378,True,False,/home/nfranz/astro-otter/otterdb/.otter/AT2022bdw.json
100,2XMMi J1847,"['2XMMi J1847', '2XMMi J184725.1-631724']",281d51m17.4s,-63d17m24.96s,"['2016A&A...594A..13P', '2011ApJ...738...52L', '2011ApJ...737..103S', '2017ApJ...835...64G', '2018MNRAS.474.3000L', '2023PASP..135c4101G']",2006-09-01 00:00:00.000,0.0353,False,False,/home/nfranz/astro-otter/otterdb/.otter/2XMMi-J1847.json
101,SDSSJ0159,"['SDSS J0159', 'SDSSJ0159']",29d59m24.6s,0d33m10.49s,"['2017ApJ...838..149A', '2016A&A...594A..13P', '2015MNRAS.452...69M', '2017ApJ...835...64G', '2015ApJ...800..144L', '2023PASP..135c4101G']",2000-07-29 00:00:00.000,0.31167,True,False,/home/nfranz/astro-otter/otterdb/.otter/SDSSJ0159.json
102,PGC 133344,['PGC 133344'],325d43m58.8s,-30d07m58.8s,"['2017ApJ...838..149A', '2016A&A...594A..13P', '2015arXiv150506612H', '2011ApJ...737..103S', '2017ApJ...835...64G', '2016A&A...586A...9H', '2023PASP..135c4101G']",2005-03-17 00:00:00.000,0.02365,False,False,/home/nfranz/astro-otter/otterdb/.otter/PGC-133344.json
103,2022gri,"['PS22nfs', 'ATLAS23doq', '2022gri', 'ZTF20aahmtso', 'AT2022gri']",109d35m11.91408s,33d59m41.47116s,"['2022TNSAN..99....1Y', '2024MNRAS.527.2452M', '2022TNSTR.890....1F', '2022TNSCR1156....1Y']",59672.157,0.028,True,False,/home/nfranz/astro-otter/otterdb/.otter/AT2022gri.json
104,J145851,['J145851'],224d42m54.75s,17d50m57.9s,"['2018arXiv180205105W', '2016A&A...594A..13P', '2011ApJ...737..103S', '2017ApJ...835...64G', '2018MNRAS.477.2943W', '2023PASP..135c4101G']",2009-04-29 00:00:00.000,0.1165,True,False,/home/nfranz/astro-otter/otterdb/.otter/J145851.json
105,TDE2,"['SDSS-TDE2', 'TDE2']",350d57m09.225s,-1d08m10.34s,"['2017ApJ...838..149A', '2016A&A...594A..13P', '2011ApJ...741...73V', '2011ApJ...737..103S', '2017ApJ...835...64G', '2000A&AS..143....9W', '2024MNRAS.527.2452M', '2023PASP..135c4101G']",2007-06-18 00:00:00.000,0.2515,True,False,/home/nfranz/astro-otter/otterdb/.otter/TDE2.json
106,SRGE J163030.2+470125,['SRGE J163030.2+470125'],247d37m33.7872s,47d01m25.428s,"['2021MNRAS.508.3820S', '2023PASP..135c4101G']",2020-08-06 00:00:00.000,0.294,False,False,/home/nfranz/astro-otter/otterdb/.otter/SRGE-J163030.2+470125.json
107,PTF10iya,"['PTF 10iya', 'PTF10iya']",219d40m15s,37d39m33.6s,"['2017ApJ...838..149A', '2016A&A...594A..13P', '2012MNRAS.420.2684C', '2011ApJ...737..103S', '2017ApJ...835...64G', '2000A&AS..143....9W', '2023PASP..135c4101G']",2010-06-11 00:00:00.000,0.22405,True,False,/home/nfranz/astro-otter/otterdb/.otter/PTF10iya.json
108,SRGE J144738.4+671821,['SRGE J144738.4+671821'],221d54m45.9756s,67d18m18.3384s,"['2021MNRAS.508.3820S', '2023PASP..135c4101G']",2020-11-19 00:00:00.000,0.125,False,False,/home/nfranz/astro-otter/otterdb/.otter/SRGE-J144738.4+671821.json
109,2021jsg,"['2021jsg', 'ZTF21aaeoitd', 'AT2021jsg']",167d09m10.72044s,30d45m40.58424s,"['2021TNSCR1221....1Y', '2024MNRAS.527.2452M', '2021TNSTR1202....1H']",59221.47831,0.126,True,False,/home/nfranz/astro-otter/otterdb/.otter/AT2021jsg.json
110,SRGE J021939.9+361819,['SRGE J021939.9+361819'],34d54m58.5504s,36d18m18.1944s,"['2021MNRAS.508.3820S', '2023PASP..135c4101G']",2020-08-07 00:00:00.000,0.3879,False,False,/home/nfranz/astro-otter/otterdb/.otter/SRGE-J021939.9+361819.json
111,SDSSJ1350,"['SDSS J1350', 'SDSSJ1350']",207d30m22.65s,29d16m09.71s,"['2017ApJ...838..149A', '2016A&A...594A..13P', '2012ApJ...749..115W', '2017ApJ...835...64G', '2013ApJ...774...46Y', '2023PASP..135c4101G']",,0.0777,True,False,/home/nfranz/astro-otter/otterdb/.otter/SDSSJ1350.json
112,SRGE J095928.6+643023,['SRGE J095928.6+643023'],149d52m07.176s,64d30m21.7908s,"['2021MNRAS.508.3820S', '2023PASP..135c4101G']",2020-10-28 00:00:00.000,0.454,False,False,/home/nfranz/astro-otter/otterdb/.otter/SRGE-J095928.6+643023.json
113,2020acka,"['2020acka', 'ATLAS21cuo', 'ZTF20acwytxn', 'AT2020acka']",238d45m29.21868s,16d18m16.33932s,"['2022ApJ...925...67L', '2024MNRAS.527.2452M', '2020TNSTR3744....1M', '2021TNSCR.262....1H', ' 2023TNSCR2004....1Y']",59194.55357640046,0.338,True,False,/home/nfranz/astro-otter/otterdb/.otter/AT2020acka.json
114,SDSSJ0952,"['SDSS J0952', 'SDSSJ0952']",148d02m23.4s,21d43m13.24s,"['2017ApJ...838..149A', '2016A&A...594A..13P', '2008ApJ...678L..13K', '2017ApJ...835...64G', '2023PASP..135c4101G']",2008-02-05 00:00:00.000,0.0789,True,False,/home/nfranz/astro-otter/otterdb/.otter/SDSSJ0952.json
115,CXOU J0332,"['CXOU J033238.8-275134', 'CXOU J0332']",53d09m42s,-27d51m34s,"['2017arXiv170204422B', '2011ApJ...737..103S', '2017ApJ...835...64G', '2017MNRAS.467.4841B', '2023PASP..135c4101G']",2014-10-01 00:00:00.000,2.23,False,False,/home/nfranz/astro-otter/otterdb/.otter/CXOU-J0332.json
116,2021axu,"['2021axu', 'ZTF21aaaokyp', 'ATLAS21bsh', 'PS21csc', 'AT2021axu']",176d39m05.52672s,30d05m07.63584s,"['2022ApJ...925...67L', '2024MNRAS.527.2452M', '2021TNSTR.218....1T', '2021TNSCR.955....1H', ' 2023TNSCR2004....1Y']",59231.512,0.19,True,False,/home/nfranz/astro-otter/otterdb/.otter/AT2021axu.json
117,2022pna,"['ZTF22aavvqyh', 'ATLAS22wax', 'Gaia22dgl', '2022pna', 'AT2022pna']",25d28m53.256s,-3d17m22.5204s,"['2022TNSCR2892....1Y', '2024MNRAS.527.2452M', '2022TNSTR2086....1T']",59784.5985,0.095,True,False,/home/nfranz/astro-otter/otterdb/.otter/AT2022pna.json
118,J155223,['J155223'],238d05m49.35s,32d34m55.1s,"['2018arXiv180205105W', '2016A&A...594A..13P', '2011ApJ...737..103S', '2017ApJ...835...64G', '2018MNRAS.477.2943W', '2023PASP..135c4101G']",2009-05-31 00:00:00.000,0.1277,True,False,/home/nfranz/astro-otter/otterdb/.otter/J155223.json
119,D23H-1,"['GALEX-D23H-1', 'D23H-1']",352d59m52.95s,0d17m14.57s,"['2017ApJ...838..149A', '2016A&A...594A..13P', '2011ApJ...737..103S', '2009ApJ...698.1367G', '2017ApJ...835...64G', '2024MNRAS.527.2452M', '2017MNRAS.471.1694W', '2023PASP..135c4101G']",2007-09-04 00:00:00.000,0.1855,True,False,/home/nfranz/astro-otter/otterdb/.otter/D23H-1.json
120,2020yue,"['2020yue', 'ZTF20acnznms', 'AT2020yue']",165d00m05.05152s,21d06m45.95292s,"['2022ApJ...925...67L', '2024MNRAS.527.2452M', '2020TNSTR3341....1N', '2022TNSCR.662....1K', ' 2023TNSCR2004....1Y']",59156.49736,0.2042,True,False,/home/nfranz/astro-otter/otterdb/.otter/AT2020yue.json
121,2021uqv,"['Gaia21drx', '2021uqv', 'ZTF21abqhkjd', 'ATLAS21beiz', 'AT2021uqv']",8d09m58.15332s,22d32m56.15448s,"['2022ApJ...925...67L', '2024MNRAS.527.2452M', '2021TNSTR2648....1M', '2021TNSCR3411....1Y', ' 2023TNSCR2004....1Y']",59424.43628469908,0.106,True,False,/home/nfranz/astro-otter/otterdb/.otter/AT2021uqv.json
122,AT2018dyb,['AT2018dyb'],242d44m43.1592s,-60d55m24.3876s,"['2019ApJ...887..218L', '2024MNRAS.527.2452M', '2018TNSTR.982....1B', '2023arXiv230813595C']",,0.018,True,False,/home/nfranz/astro-otter/otterdb/.otter/AT2018dyb.json
123,2018bsi,"['ZTF18aahqkbt', '2018bsi', 'AT2018bsi']",123d51m39.5091144s,45d35m32.011782s,"['2021ApJ...908....4V', '2024MNRAS.527.2452M', '2023ApJ...957...86H', '2018TNSTR.652....1F', '2020TNSCR2260....1D']",58217.21199074074,0.051,True,False,/home/nfranz/astro-otter/otterdb/.otter/AT2018bsi.json
124,SRGE J161001.2+330121,['SRGE J161001.2+330121'],242d30m21.312s,33d01m20.6976s,"['2021MNRAS.508.3820S', '2023PASP..135c4101G']",2020-08-14 00:00:00.000,0.1309,False,False,/home/nfranz/astro-otter/otterdb/.otter/SRGE-J161001.2+330121.json
125,2020ddv,"['ATLAS20gee', 'ZTF20aamqmfk', '2020ddv', 'AT2020ddv']",149d38m21.2473464s,46d54m40.4297676s,"['2023ApJ...942....9H', '2024MNRAS.527.2452M', '2023ApJ...957...86H', '2020TNSTR.605....1T']",58900.44699074074,0.16,True,False,/home/nfranz/astro-otter/otterdb/.otter/AT2020ddv.json
126,FIRST J153350.8+272729,['FIRST J153350.8+272729'],233d27m43.2s,27d27m29.618s,['2022ApJ...925..220R'],1995-04-16 00:00:00.000,0.03243,True,False,/home/nfranz/astro-otter/otterdb/.otter/FIRST-J153350.8+272729.json
