name,classification_flag,ra,ra_unit,dec,dec_unit,coord_bibcode,ra_err,dec_err,redshift,redshift_ref,discovery_date,discovery_date_ref,discovery_date_format,host_ra,host_ra_unit,host_dec,host_dec_unit,host_name,host_redshift,host_ref
iPTF16fnl,3.3,00:29:57.04,hour,+32:53:37.5,degree,2017ApJ...844...46B,,,,,,,,,,,,,,
AT2019dsg,3.3,20:57:02.974 ,hour,+14:12:15.86,degree, 2019TNSTR.615....1N,,,,,,,,,,,,,,
ASASSN-14ae,3.3,11:08:39.96,hour,+34:05:52.7,degree,2014ATel.5831....1P,,,,,2013-01-25,2014ATel.5831....1P,iso,,,,,,,
PS16dtm,3.3,01:58:04.739,hour,-00:52:21.74,degree,2016TNSTR.562....1C,,,0.0804,2017ApJ...843..106B,2016-08-12,2016TNSTR.562....1C,iso,,,,,,,
AT2018zr,3.3,07:56:54.537,hour,+34:15:43.61,degree,2018TNSTR.296....1C,,,0.071,2018ASPC..517..737V,,,,,,,,,,
AT2020neh,3.3,15:21:20.090,hour,+14:04:10.52,degree,2020TNSTR1886....1N,,,,,,,,,,,,,,
AT2018dyb,3.3,16:10:58.774,hour,-60:55:23.16,degree,2018TNSTR.982....1B,,,,,,,,,,,,,,
AT2018hco,3.3,01:07:33.635,hour,+23:28:34.28,degree,2018TNSTR1509....1T,,,,,,,,,,,,,,
AT2019ehz,3.3,14:09:41.880,hour,+55:29:28.10,degree,2019TNSTR.673....1D,,,,,,,,,,,,,,
AT2019eve,3.3,11:28:49.650,hour,+15:40:22.3,degree,2019TNSTR.737....1N,,,,,,,,,,,,,,
AT2019teq,3.3,18:59:05.498,hour,+47:31:05.66,degree,2019TNSTR2172....1N,,,,,,,,,,,,,,
DES14C1kia,0,03:34:47.49,hour,-26:19:35.0,degree,2015ATel.6877....1F,,,,,,,,,,,,,,
iPTF15af,3.3,08:48:28.12,hour,+22:03:33.575,degree,2019ApJ...873...92B,,,,,,,,,,,,,,
iPTF16axa,3.3,17:03:34.36,hour,+30:35:36.8,degree,2017ApJ...842...29H,,,,,,,,,,,,,,
AT2017eqx,3.3,22:26:48.370,hour,+17:08:52.40,degree,2017TNSTR.646....1C,,,0.1089,2019MNRAS.488.1878N,,,,,,,,,,
AT2018fyk,3.3,22:50:16.090,hour,-44:51:53.50,degree,2018TNSTR1325....1S,,,0.059,2019MNRAS.488.4816W,,,,,,,,,,
AT2018lna,3.3,07:03:18.649,hour,+23:01:44.70,degree,2019TNSTR.250....1F,,,,,,,,,,,,,,
ASASSN-14li,3.3,12:48:15.226,hour,+17:46:26.47,degree,2016ApJ...819L..25A,,,0.021,2024ApJ...974..241A,2014-11-22T00:00:00,2024ApJ...974..241A,isot,,,,,,,
Sw J1644+57,3.3,16:44:49.93130,hour,+57:34:59.6893,degree,2011Natur.476..425Z,,,,,,,,,,,,,,
IGR 12580,1,12:58:05.1,hour,+01:34:26,degree,2015ApJ...809..172I,0.0001,0.001,,,,,,,,,,,,
AT2018hyz,3.3,10:06:50.871,hour,+01:41:34.08,degree,2018TNSTR1708....1B,,,0.045815,2018TNSCR1764....1A,2458429.14,2018TNSTR1708....1B,jd,,,,,,,
AT2019azh,3.3,08:13:16.945,hour,+22:38:54.03,degree,2019TNSTR.262....1S,,,0.022,2019TNSTR.262....1S,2458536.52,2019TNSTR.262....1S,jd,,,,,,,
AT2022cmc,3.3,13:34:43.207,hour,+33:13:00.54,degree,2022TNSTR.397....1A,,,,,2459621.946,2022TNSTR.397....1A,jd,,,,,,,
FIRST J153350.8+272729,1,15:33:50.880,hour,+27:27:29.618,degree,2022ApJ...925..220R,,,0.03243,2022ApJ...925..220R,1995-04-16,2022ApJ...925..220R,iso,,,,,,,
Sw J2058+05,3.1,20:58:19.90,hour,+05:13:32.0,degree,2012ApJ...753...77C,,,1.1853,2012ApJ...753...77C,2011-05-20,2012ApJ...753...77C,iso,,,,,,,
Sw J1112-82,3.1,11:11:47.32,hour,-82:38:44.2,degree,2015MNRAS.452.4297B,,,0.8901,2015MNRAS.452.4297B,55731,2015MNRAS.452.4297B,mjd,,,,,,,
ASASSN-19bt,3.3,07:00:11.546,hour,-66:02:24.14,degree,2019TNSTR.167....1S,,,0.0262, 2019TNSCR.288....1P,2458513.41,2019TNSTR.167....1S,jd,,,,,,,
CNSS J0019+00,3.3,00:19:47.3,hour,+00:35:27,degree,2020ApJ...903..116A,,,0.018,2020ApJ...903..116A,2015-03-21,2020ApJ...903..116A,iso,,,,,,,
AT2020vwl,3.3,15:30:37.800,hour,+15:30:37.800,degree,2020TNSTR3089....1H ,,,0.035, 2021TNSCR.159....1H,2459133.228,2020TNSTR3089....1H ,jd,,,,,,,
eRASSt J234403-352640,3.1,23:44:02.9,hour,âˆ’35:26:39.4,degree,2023A&A...672A.167H,,,0.1,2023A&A...672A.167H,2020-11-28,2023A&A...672A.167H,iso,,,,,,,
AT2020opy,3.3,15:56:25.727,hour,+23:22:20.82,degree,2020TNSTR2111....1M,,,0.159,2023ApJ...942....9H,2459038.732,2020TNSTR2111....1M,jd,,,,,,,
AT2019azh,3.3,08:13:17.054,hour,+22:38:54.49 ,degree, 2019TNSTR.262....1S ,,,0.022, 2019TNSCR.287....1B ],2458536.52, 2019TNSTR.262....1S ,jd,,,,,,,
SwJ1644+57,3.3,16:44:49.93130,hour,+57:34:59.6893,degree,2011Natur.476..425Z,,,,,,,,,,,,,,
IGR12580,1,12:58:05.1,hour,+01:34:26,degree,2015ApJ...809..172I,0.0001,0.001,,,,,,,,,,,,
XMM SL1 J0749-85,3.3,07:40:08.19,hour,-85:39:31.25,degree,2017ApJ...837..153A,0.3,0.3,0.0173,2017ApJ...837..153A,2014-04-01,2017ApJ...837..153A,iso,,,,,,,
Arp 299-B AT1,3.3,11:28:30.9875529,hour,58:33:40.783601,degree,2018Sci...361..482M,,,,,2005-01-30,2018Sci...361..482M,iso,,,,,,,
RXJ1624+7554,1,16:24:56.70,hour,+75:54:57.5,degree,2017ApJ...838..149A,,,0.06,2013ApJ...763...84B,,,,,,,,,,
RXJ1242-1119,1,12:42:38.55,hour,-11:19:20.80,degree,2017ApJ...838..149A,,,0.046,2013ApJ...763...84B,,,,,,,,,,
SDSSJ1323+48,1,13:23:41.97,hour,+48:27:01.26,degree,2017ApJ...838..149A,,,0.08,2013ApJ...763...84B,,,,,,,,,,
SDSSJ1311-01,3.3,197.8416667,degree,-1.39611111111111,degree,2023PASP..135c4101G,,,0.156,2013ApJ...763...84B,,,,,,,,,,
NGC5905,3.1,15:15:23.32,hour,+55:31:01.59,degree,2017ApJ...838..149A,,,0.012,2002RvMA...15...27K,,,,,,,,,,
GALEX-D1-9,3.3,02:25:16.968,hour,-04:32:58.92,degree,2008ApJ...676..944G,,,0.326,2013A&A...552A...5V,,,,,,,,,,
GALEX-D3-13,3.3,14:19:29.76,hour,+52:52:06.24,degree,2008ApJ...676..944G,,,0.3698,2011ApJ...732L..12B,,,,,,,,,,
D23H-1,3.1,23:31:59.53,hour,+00:17:14.57,degree,2009ApJ...698.1367G,,,0.186,2013A&A...552A...5V,,,,,,,,,,
PTF10iya,3.3,14:38:41.00,hour,+37:39:33.60,degree,2017ApJ...838..149A,,,0.224,2013A&A...552A...5V,,,,,,,,,,
PS1-10jh,3.3,16:09:28.29,hour,+53:40:23.52,degree,2017ApJ...838..149A,,,0.17,2013A&A...552A...5V,,,,,,,,,,
SDSS-TDE1,3.3,23:42:01.406,hour,+01:06:29.30,degree,2000A&AS..143....9W,,,0.136,2013A&A...552A...5V,,,,,,,,,,
SDSS-TDE2,3.3,23:23:48.615,hour,-01:08:10.34,degree,2000A&AS..143....9W,,,0.252,2011MNRAS.417L..51V,,,,,,,,,,
SDSSJ1201+30,3.3,12:01:36.03,hour,+30:03:05.52,degree,2017ApJ...838..149A,,,0.146,2012A&A...541A.106S,,,,,,,,,,
PTF09axc,3.3,14:53:13.06,hour,+22:14:32.20,degree,2000A&AS..143....9W,,,0.1146,2014ApJ...793...38A,,,,,,,,,,
PS1-11af,3.3,09:57:26.82,hour,+03:14:01.00,degree,2017ApJ...838..149A,,,0.4046,2014ApJ...780...44C,,,,,,,,,,
XMMSL2_J1446+68,3.3,221.520833333333,degree,68.9586111111111,degree,2019A&A...630A..98S,,,0.029,2019A&A...630A..98S,,,,,,,,,,
ASASSN-18pg,,16:10:58.774,hour,-60:55:23.16,degree,2018TNSTR.982....1B,,,0.017392,2020ApJ...898..161H,,,,,,,,,,
ASASSN-15oi,3.3,20h39m09.1s,hour,-30d45m21s,degree,2024ApJ...974..241A,,,0.02,2024ApJ...974..241A,2015-08-14,2024ApJ...974..241A,iso,,,,,,,
AT2019ahk,3.3,07h00m11.5s,hour,-66d02m24s,degree,2024ApJ...974..241A,,,0.026,2024ApJ...974..241A,2019-01-29 21:50:24,2024ApJ...974..241A,iso,,,,,,,
AT2019qiz,3.3,04h46m37.9s,hour,-10d13m35s,degree,2024ApJ...974..241A,,,0.015,2024ApJ...974..241A,2019-09-19T11:59:43,2024ApJ...974..241A,isot,,,,,,,
AT2020zso,3.3,22h22m17.1s,hour,-07d16m00s,degree,2024ApJ...974..241A,,,0.061,2024ApJ...974..241A,2020-11-12T03:36:05.003,2024ApJ...974..241A,isot,,,,,,,
AT2021qxv,3.3,15h18m59.3s,hour,-03d11m45s,degree,2024ApJ...974..241A,,,0.183,2024ApJ...974..241A,2021-05-10T10:50:52.800,2024ApJ...974..241A,isot,,,,,,,
AT2022bdw,3.3,08h25m10.4s,hour,18d34m57s,degree,2024ApJ...974..241A,,,0.038,2024ApJ...974..241A,2022-01-31T09:37:26.400,2024ApJ...974..241A,isot,,,,,,,
AT2022dsb,3.3,15h42m21.7s,hour,-22d40m14s,degree,2024ApJ...974..241A,,,0.023,2024ApJ...974..241A,2022-03-01T13:40:47,2024ApJ...974..241A,isot,,,,,,,
AT2016fnl,3.3,7.487676,deg,32.893753,deg,2016TNSTR.611....1K,,,,,,,,,,,,,,
AT2018iih,3.3,262.016375,deg,30.692061,deg,2018TNSTR1750....1T,,,,,,,,,,,,,,
AT2019bhf,3.3,227.3165642,deg,16.2395896,deg,2019TNSTR.299....1F,,,,,,,,,,,,,,
AT2019gte,3.3,196.6642678,deg,-1.5484498,deg,2019TNSTR.922....1N,,,,,,,,,,,,,,
AT2019lwu,3.3,347.801272734,deg,-1.00297512304,deg,2019TNSTR1352....1F,,,,,,,,,,,,,,
AT2019vcb,3.3,189.734917,deg,33.165911,deg,2019TNSTR2396....1N,,,,,,,,,,,,,,
AT2020acka,3.3,238.75806450714,deg,16.304491035714,deg,2020TNSTR3744....1M,,,,,,,,,,,,,,
AT2020pj,3.3,232.89566778,deg,33.09485168,deg,2020TNSTR..79....1N,,,,,,,,,,,,,,
AT2021ack,3.3,208.2916185,deg,9.7403742,deg,2021TNSTR.114....1T,,,,,,,,,,,,,,
AT2021axu,3.3,176.651483366,deg,30.0853983487,deg,2021TNSTR.218....1T,,,,,,,,,,,,,,
AT2021blz,3.3,68.130215,deg,-32.4306575,deg,2021TNSTR.312....1T,,,,,,,,,,,,,,
AT2021ehb,3.3,46.9491904666667,deg,40.3112683,deg,2021TNSTR.651....1M,,,,,,,,,,,,,,
AT2021gje,3.3,252.5305484,deg,34.8188397,deg,2021TNSTR.815....1M,,,,,,,,,,,,,,
AT2021jjm,3.3,219.877692561,deg,-27.8583862971,deg,2021TNSTR1158....1M,,,,,,,,,,,,,,
AT2021jsg,3.3,167.1529779,deg,30.7612734,deg,2021TNSTR1202....1H,,,,,,,,,,,,,,
AT2021lo,3.3,46.109779375,deg,4.7456443,deg,2021TNSTR..54....1M,,,,,,,,,,,,,,
AT2021mhg,3.3,4.92875,deg,29.316861,deg,2021TNSTR1620....1M,,,,,,,,,,,,,,
AT2021uqv,3.3,8.166167,deg,22.5489,deg,2021TNSTR2648....1M,,,,,,,,,,,,,,
AT2021uvz,3.3,263.2104408,deg,33.0328877,deg,2021TNSTR2682....1F,,,,,,,,,,,,,,
AT2021yte,3.3,103.7696918,deg,12.6341543,deg,2021TNSTR3154....1F,,,,,,,,,,,,,,
AT2021yzv,3.3,105.277487,deg,40.8251838,deg,2021TNSTR3208....1F,,,,,,,,,,,,,,
AT2022adm,3.3,216.964333,deg,28.174731,deg,2022TNSTR.156....1M,,,,,,,,,,,,,,
AT2022arb,3.3,156.043047049,deg,-0.822997785982,deg,2022TNSTR.228....1T,,,,,,,,,,,,,,
AT2022czy,3.3,185.504708,deg,16.995561,deg,2022TNSTR.489....1T,,,,,,,,,,,,,,
AT2022dyt,3.3,150.0333685,deg,26.4607142,deg,2022TNSTR.572....1M,,,,,,,,,,,,,,
AT2022exr,3.3,262.460458,deg,25.8422,deg,2022TNSTR.743....1T,,,,,,,,,,,,,,
