name,ra,ra_unit,dec,dec_unit,coord_bibcode,ra_err,dec_err,redshift,redshift_ref,discovery_date,discovery_date_ref,discovery_date_format
iPTF16fnl,00:29:57.04,hour,+32:53:37.5,degree,2017ApJ...844...46B,,,,,,,
AT2019dsg,20:57:02.974 ,hour,+14:12:15.86,degree, 2019TNSTR.615....1N,,,,,,,
ASASSN-14ae,11:08:39.96,hour,+34:05:52.7,degree,2014ATel.5831....1P,,,,,2013-01-25,2014ATel.5831....1P,iso
PS16dtm,01:58:04.739,hour,-00:52:21.74,degree,2016TNSTR.562....1C,,,,,2016-08-12,2016TNSTR.562....1C,iso
AT2018zr,07:56:54.537,hour,+34:15:43.61,degree,2018TNSTR.296....1C,,,,,,,
AT2020neh,15:21:20.090,hour,+14:04:10.52,degree,2020TNSTR1886....1N,,,,,,,
AT2018dyb,16:10:58.774,hour,-60:55:23.16,degree,2018TNSTR.982....1B,,,,,,,
AT2018hco,01:07:33.635,hour,+23:28:34.28,degree,2018TNSTR1509....1T,,,,,,,
AT2019ehz,14:09:41.880,hour,+55:29:28.10,degree,2019TNSTR.673....1D,,,,,,,
AT2019eve,11:28:49.650,hour,+15:40:22.3,degree,2019TNSTR.737....1N,,,,,,,
AT2019teq,18:59:05.498,hour,+47:31:05.66,degree,2019TNSTR2172....1N,,,,,,,
DES14C1kia,03:34:47.49,hour,-26:19:35.0,degree,2015ATel.6877....1F,,,,,,,
iPTF15af,08:48:28.12,hour,+22:03:33.575,degree,2019ApJ...873...92B,,,,,,,
iPTF16axa,17:03:34.36,hour,+30:35:36.8,degree,2017ApJ...842...29H,,,,,,,
AT2017eqx,22:26:48.370,hour,+17:08:52.40,degree,2017TNSTR.646....1C,,,,,,,
AT2018fyk,22:50:16.090,hour,-44:51:53.50,degree,2018TNSTR1325....1S,,,,,,,
AT2018lna,07:03:18.649,hour,+23:01:44.70,degree,2019TNSTR.250....1F,,,,,,,
ASASSN-14li,12:48:15.226,hour,+17:46:26.47,degree,2016ApJ...819L..25A,,,,,,,
Sw J1644+57,16:44:49.93130,hour,+57:34:59.6893,degree,2011Natur.476..425Z,,,,,,,
IGR 12580,12:58:05.1,hour,+01:34:26,degree,2015ApJ...809..172I,0.0001,0.001,,,,,
AT2018hyz,10:06:50.871,hour,+01:41:34.08,degree,2018TNSTR1708....1B,,,0.045815,2018TNSCR1764....1A,2458429.14,2018TNSTR1708....1B,jd
AT2019azh,08:13:16.945,hour,+22:38:54.03,degree,2019TNSTR.262....1S,,,0.022,2019TNSTR.262....1S,2458536.52,2019TNSTR.262....1S,jd
AT2022cmc,13:34:43.207,hour,+33:13:00.54,degree,2022TNSTR.397....1A,,,,,2459621.946,2022TNSTR.397....1A,jd
FIRST J153350.8+272729,15:33:50.880,hour,+27:27:29.618,degree,2022ApJ...925..220R,,,0.03243,2022ApJ...925..220R,1995-04-16,2022ApJ...925..220R,iso
Sw J2058+05,20:58:19.90,hour,+05:13:32.0,degree,2012ApJ...753...77C,,,1.1853,2012ApJ...753...77C,2011-05-20,2012ApJ...753...77C,iso
Sw J1112-82,11:11:47.32,hour,-82:38:44.2,degree,2015MNRAS.452.4297B,,,0.8901,2015MNRAS.452.4297B,55731,2015MNRAS.452.4297B,mjd
ASASSN-19bt,07:00:11.546,hour,-66:02:24.14,degree,2019TNSTR.167....1S,,,0.0262, 2019TNSCR.288....1P,2458513.41,2019TNSTR.167....1S,jd
CNSS J0019+00,00:19:47.3,hour,+00:35:27,degree,2020ApJ...903..116A,,,0.018,2020ApJ...903..116A,2015-03-21,2020ApJ...903..116A,iso
AT2020vwl,15:30:37.800,hour,+15:30:37.800,degree,2020TNSTR3089....1H ,,,0.035, 2021TNSCR.159....1H,2459133.228,2020TNSTR3089....1H ,jd
eRASSt J234403-352640,23:44:02.9,hour,âˆ’35:26:39.4,degree,2023A&A...672A.167H,,,0.1,2023A&A...672A.167H,2020-11-28,2023A&A...672A.167H,iso
AT2020opy,15:56:25.727,hour,+23:22:20.82,degree,2020TNSTR2111....1M,,,0.159,2023ApJ...942....9H,2459038.732,2020TNSTR2111....1M,jd
AT2019azh,08:13:17.054,hour,+22:38:54.49 ,degree, 2019TNSTR.262....1S ,,,0.022, 2019TNSCR.287....1B ],2458536.52, 2019TNSTR.262....1S ,jd
SwJ1644+57,16:44:49.93130,hour,+57:34:59.6893,degree,2011Natur.476..425Z,,,,,,,
IGR12580,12:58:05.1,hour,+01:34:26,degree,2015ApJ...809..172I,0.0001,0.001,,,,,