MJD	Counts[s^âˆ’1]	Counts_upper	Counts_lower
57822.917	0.03120		+0.01125	-0.00909
57822.921	0.03858		+0.01384	-0.01118
57822.925	0.04309		+0.01532	-0.01239
57822.928	0.03553		+0.01150	-0.00947
57822.990	0.04266		+0.01111	-0.01111
57843.703	0.04142		+0.01485	-0.01200
57843.708	0.03251		+0.01192	-0.00963
57843.714	0.02923		+0.00721	-0.00721
57850.483	0.02779		+0.00830	-0.00693
57853.145	0.04136		+0.01084	-0.01084
57859.458	0.02458		+0.00573	-0.00573
57864.504	0.04424		+0.01584	-0.01281
57864.510	0.02696		+0.00916	-0.00748
57864.570	0.03244		+0.01163	-0.00940
57864.576	0.02479		+0.00772	-0.00641
57871.080	0.02881		+0.00858	-0.00717
57871.415	0.06136		+0.02192	-0.01771
57871.419	0.03210		+0.01153	-0.00932
57878.319	0.03748		+0.01348	-0.01089
57878.324	0.03795		+0.01366	-0.01104
57878.330	0.02818		+0.00926	-0.00774
57942.427	0.02704		+0.00984	-0.00795
57942.432	0.04365		+0.01066	-0.01066	
57942.493	0.02134		+0.00732	-0.00598
57942.498	0.05483		+0.01342	-0.01342
57949.618	0.02670		+0.00662	-0.00662
57955.988	0.02106		+0.00540	-0.00540
58191.653	0.01857		+0.00581	-0.00482
