MJD	Frequency(GHz)	F(μJy)	dF(μJy)
57833	4.999	354.2	22.9
57833	7.099	358.2	18.1
57833	19.199	173.6	41.7
57833	24.499	140.5	48.0
57835	2.679	373.8	46.8
57835	3.523	366.6	33.4
57835	4.999	422.8	25.5
57835	7.099	378.5	16.3
57835	8.549	366.5	17.0
57835	10.999	314.5	13.6
57835	13.499	256.7	12.3
57835	15.999	222.9	15.0
57869	2.679	212.1	74.1
57869	3.523	309.6	30.8
57869	4.999	357.7	35.5
57869	7.099	340.7	25.3
57869	8.549	326.8	19.5
57869	10.999	305.1	15.2
57869	13.499	282.4	13.5
57869	15.999	271.4	16.7
57934	2.679	375.1	35.3
57934	3.523	375.5	23.8
57934	4.999	350.7	23.0
57934	7.099	307.5	24.5
57934	8.549	351.3	24.1
57934	10.999	322.0	19.5
57934	13.499	325.2	33.2
57934	15.999	321.9	36.3
58135	2.679	332.1	26.0
58135	3.523	345.2	13.3
58135	4.999	372.9	26.1
58135	7.099	336.8	20.1
58135	8.549	311.7	19.5
58135	10.999	269.1	17.4
58135	13.499	286.1	18.8
58135	15.999	295.0	19.6